,ID,LtrGrade,Department,Grade,Term_GPA,Course,Name,Age,Attendance,Gender,Latino,Race,ZIP,LAT,LNG,ProfID
81,2016000004,A,Business Management,93.33,3.94,MGT 210,Quantitative Business Analysis,27,96.67%,2,No,1,92057,33.254619,-117.283341,15
82,2016000004,A-,Business Management,92.4,3.94,MKT 320,Principles of Marketing,27,100%,2,No,1,92057,33.254619,-117.283341,0
83,2016000004,A,General Education,93.62,3.94,THE 100,Orthodox Christianity,27,82.76%,2,No,1,92057,33.254619,-117.283341,83
84,2016000004,A,General Education,93.23,3.94,WRI 105,College Composition II,27,80%,2,No,1,92057,33.254619,-117.283341,10
85,2016000004,0,General Education,0.0,3.94,BIO 100,Natural World: Biology,27,100%,2,No,1,92057,33.254619,-117.283341,31
86,2016000004,A,Integrated Core,97.43,3.94,INT 200,Classical Rhetoric,27,77.78%,2,No,1,92057,33.254619,-117.283341,25
88,2016000004,B+,Business Management,87.0,3.58,MGT 320,HR and Talent Management,27,85.29%,2,No,1,92057,33.254619,-117.283341,89
89,2016000004,A,Business Management,94.0,3.58,BUS 499,Senior Capstone,27,100%,2,No,1,92057,33.254619,-117.283341,89
90,2016000004,A,Integrated Core,100.0,3.58,INT 310,Modern European Thought &amp; Culture,27,83.33%,2,No,1,92057,33.254619,-117.283341,28
92,2016000004,A-,General Education,91.56,3.7,BIO 100,Natural World: Biology,27,61.29%,2,No,1,92057,33.254619,-117.283341,77
94,2016000005,C+,Natural Sciences,77.45,3.13,CHE 105,General Chemistry I and LAB,24,100%,3,Yes,1,90304,33.937886,-118.35855900000001,31
95,2016000005,A,Integrated Core,93.0,3.13,INT 300,Ethics,24,92.68%,3,Yes,1,90304,33.937886,-118.35855900000001,29
96,2016000005,C+,Kinesiology,79.1,3.13,KIN 100,Fundamentals of Nutrition,24,96.67%,3,Yes,1,90304,33.937886,-118.35855900000001,40
98,2016000005,A,General Education,95.14,3.13,THE 100,Orthodox Christianity,24,96.67%,3,Yes,1,90304,33.937886,-118.35855900000001,83
99,2016000005,F,Natural Sciences,57.63,1.82,BIO 110,Introductory Biology II and LAB,24,87.04%,3,Yes,1,90304,33.937886,-118.35855900000001,6
100,2016000005,C+,Kinesiology,78.71,1.82,KIN 300,Applied Kinesiology,24,82.76%,3,Yes,1,90304,33.937886,-118.35855900000001,40
101,2016000005,C-,General Education,70.0,1.82,THE 105,New Testament,24,100%,3,Yes,1,90304,33.937886,-118.35855900000001,52
102,2016000005,A,General Education,114.44,1.82,WRI 105,College Composition II,24,94.12%,3,Yes,1,90304,33.937886,-118.35855900000001,71
103,2016000005,C-,Integrated Core,72.02,1.82,INT 310,Modern European Thought &amp; Culture,24,75%,3,Yes,1,90304,33.937886,-118.35855900000001,28
105,2016000005,C,General Education,75.98,2.18,ECO 100,Introduction to Economics,24,96.55%,3,Yes,1,90304,33.937886,-118.35855900000001,17
106,2016000005,B-,Kinesiology,82.0,2.18,KIN 315,Nutrition for Health &amp; Exercise Performance,24,100%,3,Yes,1,90304,33.937886,-118.35855900000001,77
107,2016000005,C+,Kinesiology,78.88,2.18,KIN 325,Motor Control &amp; Learning,24,96.30%,3,Yes,1,90304,33.937886,-118.35855900000001,40
108,2016000005,C-,Kinesiology,72.79,2.18,KIN 350,Measurments and Evaluation in Kinesiology,24,78.57%,3,Yes,1,90304,33.937886,-118.35855900000001,50
110,2016000005,A-,Natural Sciences,92.0,2.99,BIO 310,Human Physiology and Anatomy II,24,92.86%,3,Yes,1,90304,33.937886,-118.35855900000001,73
112,2016000005,B,Kinesiology,84.0,2.99,KIN 240,Exercise Physiology and LAB,24,100%,3,Yes,1,90304,33.937886,-118.35855900000001,50
113,2016000005,C,Kinesiology,75.0,2.99,KIN 370,Health and Fitness Across the Lifespan,24,93.18%,3,Yes,1,90304,33.937886,-118.35855900000001,40
114,2016000005,C+,Kinesiology,76.0,2.99,KIN 380,Socio-Phychological Aspects of Sport &amp; Physical Activity,24,100%,3,Yes,1,90304,33.937886,-118.35855900000001,40
116,2016000005,B,Kinesiology,84.31,3.67,KIN 340,Principles of Health Promotion,24,71.88%,3,Yes,1,90304,33.937886,-118.35855900000001,66
118,2016000005,A,Kinesiology,99.0,3.67,KIN 490,Research Methods I,24,100%,3,Yes,1,90304,33.937886,-118.35855900000001,40
123,2016000006,B,Other,83.0,2.49,FRS 100,Freshman Seminar,20,100%,2,No,4,92530,33.649528000000004,-117.376774,12
124,2016000006,C-,Integrated Core,72.4,2.49,INT 100,Interdisciplinary Studies,20,100%,2,No,4,92530,33.649528000000004,-117.376774,28
126,2016000006,A,General Education,93.0,2.49,WRI 090,Intermediate Composition,20,100%,2,No,4,92530,33.649528000000004,-117.376774,54
127,2016000006,0,Natural Sciences,0.0,2.49,BIO 105,Introductory Biology I and LAB,20,94.44%,2,No,4,92530,33.649528000000004,-117.376774,6
128,2016000006,D-,Natural Sciences,60.36,2.49,CHE 105,General Chemistry I and LAB,20,100%,2,No,4,92530,33.649528000000004,-117.376774,31
130,2016000006,B-,Arts and Humanities,81.67,2.78,ART 100,Intro to Studio Art &amp; Art History,20,100%,2,No,4,92530,33.649528000000004,-117.376774,39
131,2016000006,C-,Arts and Humanities,71.0,2.78,HIS 200,Special Topics: Civil War and Reconstruction Era,20,94.29%,2,No,4,92530,33.649528000000004,-117.376774,12
132,2016000006,B-,Integrated Core,81.83,2.78,INT 110,Critical Reasoning,20,89.66%,2,No,4,92530,33.649528000000004,-117.376774,29
133,2016000006,0,General Education,0.0,2.78,MTH 100,College Algebra,20,100%,2,No,4,92530,33.649528000000004,-117.376774,67
134,2016000006,A,General Education,100.5,2.78,WRI 100,College Composition I,20,90.48%,2,No,4,92530,33.649528000000004,-117.376774,71
167,2016000008,B-,Other,80.0,2.48,FRS 100,Freshman Seminar,21,93.75%,3,No,1,92843,33.763905,-117.93138200000001,12
168,2016000008,C-,Integrated Core,72.22,2.48,INT 100,Interdisciplinary Studies,21,88.24%,3,No,1,92843,33.763905,-117.93138200000001,28
170,2016000008,D-,General Education,60.75,2.48,WRI 100,College Composition I,21,80.77%,3,No,1,92843,33.763905,-117.93138200000001,54
171,2016000008,C+,Natural Sciences,79.0,2.48,BIO 105,Introductory Biology I and LAB,21,93.75%,3,No,1,92843,33.763905,-117.93138200000001,6
173,2016000008,A,General Education,96.0,2.48,THE 100,Orthodox Christianity,21,86.67%,3,No,1,92843,33.763905,-117.93138200000001,83
174,2016000008,F,Natural Sciences,52.68,1.62,BIO 110,Introductory Biology II and LAB,21,90.74%,3,No,1,92843,33.763905,-117.93138200000001,6
175,2016000008,C-,Integrated Core,70.14,1.62,INT 110,Critical Reasoning,21,84.38%,3,No,1,92843,33.763905,-117.93138200000001,29
176,2016000008,B,Kinesiology,83.31,1.62,KIN 150,Intro to Athletic Training,21,93.75%,3,No,1,92843,33.763905,-117.93138200000001,51
177,2016000008,C+,General Education,77.1,1.62,MTH 105,Introduction to Statistics,21,97.22%,3,No,1,92843,33.763905,-117.93138200000001,15
178,2016000008,0,General Education,0.0,1.62,THE 105,New Testament,21,85.71%,3,No,1,92843,33.763905,-117.93138200000001,52
235,2016000011,A,Arts and Humanities,107.0,4.0,HIS 100,Introduction to Historical Study,26,100%,3,No,1,92501,33.99504,-117.37318400000001,20
236,2016000011,A,Integrated Core,96.0,4.0,INT 300,Ethics,26,100%,3,No,1,92501,33.99504,-117.37318400000001,29
237,2016000011,A,Arts and Humanities,100.0,4.0,MUS 205,Chorale,26,100%,3,No,1,92501,33.99504,-117.37318400000001,75
238,2016000011,A,General Education,97.0,4.0,THE 100,Orthodox Christianity,26,93.33%,3,No,1,92501,33.99504,-117.37318400000001,83
239,2016000011,A,Arts and Humanities,95.35,4.0,LIT 200,Intro to Literature &amp; Creative Writing,26,96.77%,3,No,1,92501,33.99504,-117.37318400000001,54
240,2016000011,A,Arts and Humanities,93.0,4.0,MUS 300,Music Theory I,26,93.75%,3,No,1,92501,33.99504,-117.37318400000001,75
242,2016000011,B-,Arts and Humanities,80.1,3.63,HUM 305,Literature in History,26,100%,3,No,1,92501,33.99504,-117.37318400000001,28
243,2016000011,0,General Education,0.0,3.63,THE 105,New Testament,26,100%,3,No,1,92501,33.99504,-117.37318400000001,52
244,2016000011,A-,Integrated Core,91.93,3.63,INT 110,Critical Reasoning,26,96.55%,3,No,1,92501,33.99504,-117.37318400000001,29
245,2016000011,A,Arts and Humanities,100.0,3.63,MUS 060,Piano Proficiency,26,100%,3,No,1,92501,33.99504,-117.37318400000001,75
246,2016000011,A,Arts and Humanities,106.87,3.63,MUS 200,Intro to Music Listening and Performance,26,100%,3,No,1,92501,33.99504,-117.37318400000001,75
247,2016000011,A,Arts and Humanities,97.99,3.63,MUS 305,Western Music History,26,100%,3,No,1,92501,33.99504,-117.37318400000001,75
249,2016000011,B-,Integrated Core,81.5,3.54,INT 350,"The American Experiment in Politics, Culture &amp; Religion",26,93.75%,3,No,1,92501,33.99504,-117.37318400000001,52
251,2016000011,0,Arts and Humanities,0.0,3.54,MUS 201,Orthodox Church Music,26,100%,3,No,1,92501,33.99504,-117.37318400000001,75
252,2016000011,A,Arts and Humanities,99.12,3.54,MUS 310,Contemporary Composition,26,100%,3,No,1,92501,33.99504,-117.37318400000001,75
253,2016000011,A,Arts and Humanities,99.05,3.54,MUS 315,World Music,26,100%,3,No,1,92501,33.99504,-117.37318400000001,75
254,2016000011,B,Arts and Humanities,83.0,3.54,HUM 310,"Word, Image, Song",26,96.43%,3,No,1,92501,33.99504,-117.37318400000001,28
257,2016000011,B,Arts and Humanities,84.0,3.2,HUM 400,Becoming Human,26,91.67%,3,No,1,92501,33.99504,-117.37318400000001,28
258,2016000011,A,Arts and Humanities,93.8,3.2,MUS 400,Special Topics,26,100%,3,No,1,92501,33.99504,-117.37318400000001,72
259,2016000011,C+,General Education,76.0,3.2,MTH 100,College Algebra,26,96.67%,3,No,1,92501,33.99504,-117.37318400000001,57
260,2016000011,A,Arts and Humanities,108.33,3.2,ART 100,Intro to Studio Art &amp; Art History,26,95.24%,3,No,1,92501,33.99504,-117.37318400000001,39
264,2016000012,C+,Other,77.0,2.41,FRS 100,Freshman Seminar,20,100%,2,No,1,92056,33.201242,-117.29698400000001,12
265,2016000012,C,Integrated Core,74.0,2.41,INT 100,Interdisciplinary Studies,20,97.06%,2,No,1,92056,33.201242,-117.29698400000001,28
266,2016000012,D,Business Management,64.25,2.41,MGT 100,Foundations of Business,20,100%,2,No,1,92056,33.201242,-117.29698400000001,76
268,2016000012,A-,General Education,91.59,2.41,WRI 100,College Composition I,20,100%,2,No,1,92056,33.201242,-117.29698400000001,54
270,2016000012,B-,Business Management,82.74,2.41,ECO 115,Principles of Macroeconomics,20,96.67%,2,No,1,92056,33.201242,-117.29698400000001,81
271,2016000012,B-,Business Management,82.3,2.66,ECO 110,Principles of Microeconomics,20,100%,2,No,1,92056,33.201242,-117.29698400000001,17
272,2016000012,C+,Integrated Core,77.59,2.66,INT 110,Critical Reasoning,20,96.55%,2,No,1,92056,33.201242,-117.29698400000001,29
273,2016000012,D+,General Education,66.0,2.66,MTH 105,Introduction to Statistics,20,94.44%,2,No,1,92056,33.201242,-117.29698400000001,15
274,2016000012,A-,General Education,92.94,2.66,WRI 105,College Composition II,20,82.35%,2,No,1,92056,33.201242,-117.29698400000001,71
275,2016000012,B+,Arts and Humanities,86.54,2.66,HIS 200,Special Topics: Civil War and Reconstruction Era,20,100%,2,No,1,92056,33.201242,-117.29698400000001,12
277,2016000012,C,Business Management,75.19,2.67,ACC 220,Financial Accounting,20,100%,2,No,1,92056,33.201242,-117.29698400000001,17
278,2016000012,B,Integrated Core,85.42,2.67,INT 200,Classical Rhetoric,20,96.30%,2,No,1,92056,33.201242,-117.29698400000001,25
279,2016000012,B,Business Management,83.27,2.67,MGT 210,Quantitative Business Analysis,20,100%,2,No,1,92056,33.201242,-117.29698400000001,15
281,2016000012,B-,Business Management,80.0,3.02,ACC 230,Managerial Accounting,20,100%,2,No,1,92056,33.201242,-117.29698400000001,17
282,2016000012,A-,General Education,90.0,3.02,CHE 100,Natural World: Chemistry,20,93.10%,2,No,1,92056,33.201242,-117.29698400000001,63
283,2016000012,B+,Integrated Core,86.0,3.02,INT 210,Western Civilization &amp; the Formation of Christendom,20,97.83%,2,No,1,92056,33.201242,-117.29698400000001,20
284,2016000012,B-,Business Management,80.8,3.02,MGT 315,Organizational Behavior,20,100%,2,No,1,92056,33.201242,-117.29698400000001,89
285,2016000012,B-,Business Management,81.0,3.02,BUS 310,Leadership and Business Ethics,20,100%,2,No,1,92056,33.201242,-117.29698400000001,44
287,2016000012,B-,General Education,80.49,3.0,ASL 100,American Sign Language I,20,92.86%,2,No,1,92056,33.201242,-117.29698400000001,82
288,2016000012,B-,General Education,80.0,3.0,BIO 100,Natural World: Biology,20,96.77%,2,No,1,92056,33.201242,-117.29698400000001,77
289,2016000012,B,Business Management,84.53,3.0,BUS 305,Business Law,20,90%,2,No,1,92056,33.201242,-117.29698400000001,23
290,2016000012,B-,Integrated Core,81.16,3.0,INT 300,Ethics,20,100%,2,No,1,92056,33.201242,-117.29698400000001,29
291,2016000012,A,Business Management,97.38,3.0,MGT 320,HR and Talent Management,20,100%,2,No,1,92056,33.201242,-117.29698400000001,41
292,2016000012,P+,Other,100.0,3.0,Chapel,Chapel,20,100%,2,No,1,92056,33.201242,-117.29698400000001,46
299,2016000013,A,Natural Sciences,97.09,3.55,BIO 105,Introductory Biology I and LAB,22,100%,3,No,1,85142,33.19999,-111.63629399999999,6
301,2016000013,B+,Natural Sciences,89.0,3.55,CHE 105,General Chemistry I and LAB,22,100%,3,No,1,85142,33.19999,-111.63629399999999,31
303,2016000013,B,Natural Sciences,83.0,3.55,PHY 105,Physics I and LAB,22,100%,3,No,1,85142,33.19999,-111.63629399999999,31
304,2016000013,A-,Natural Sciences,90.9,3.66,BIO 110,Introductory Biology II and LAB,22,98.15%,3,No,1,85142,33.19999,-111.63629399999999,6
305,2016000013,B+,Natural Sciences,88.0,3.66,CHE 110,General Chemistry II and LAB,22,100%,3,No,1,85142,33.19999,-111.63629399999999,31
306,2016000013,A,Natural Sciences,99.0,3.66,MTH 210,Calculus II,22,100%,3,No,1,85142,33.19999,-111.63629399999999,67
307,2016000013,A-,Natural Sciences,91.5,3.66,PHY 110,Physics II and LAB,22,100%,3,No,1,85142,33.19999,-111.63629399999999,31
308,2016000013,A-,General Education,91.0,3.66,THE 105,New Testament,22,100%,3,No,1,85142,33.19999,-111.63629399999999,52
310,2016000013,P+,Natural Sciences,100.0,3.66,BIO 390,Journal Club and Scientific Writing,22,100%,3,No,1,85142,33.19999,-111.63629399999999,31
311,2016000013,A-,Natural Sciences,91.18,3.93,CHE 300,Biochemistry I and LAB,22,100%,3,No,1,85142,33.19999,-111.63629399999999,53
312,2016000013,A,Integrated Core,94.55,3.93,INT 200,Classical Rhetoric,22,84%,3,No,1,85142,33.19999,-111.63629399999999,25
313,2016000013,A,Integrated Core,93.47,3.93,INT 300,Ethics,22,96.43%,3,No,1,85142,33.19999,-111.63629399999999,29
314,2016000013,A,General Education,94.29,3.93,THE 100,Orthodox Christianity,22,100%,3,No,1,85142,33.19999,-111.63629399999999,83
316,2016000013,A,Natural Sciences,97.03,3.93,BIO 430,Neuroscience,22,100%,3,No,1,85142,33.19999,-111.63629399999999,27
317,2016000013,A,Natural Sciences,94.0,3.84,BIO 225,Genetics and Genomes,22,88.37%,3,No,1,85142,33.19999,-111.63629399999999,73
318,2016000013,A,Natural Sciences,93.0,3.84,CHE 301,Biochemistry II,22,100%,3,No,1,85142,33.19999,-111.63629399999999,63
321,2016000013,A,Integrated Core,101.37,3.84,INT 310,Modern European Thought &amp; Culture,22,96.88%,3,No,1,85142,33.19999,-111.63629399999999,28
322,2016000013,A,Natural Sciences,101.0,3.84,MTH 315,Biostatistics,22,93.33%,3,No,1,85142,33.19999,-111.63629399999999,25
323,2016000013,B+,Natural Sciences,87.63,3.77,BIO 425,Cell Biology,22,95.65%,3,No,1,85142,33.19999,-111.63629399999999,33
325,2016000013,P+,Other,100.0,3.77,Chapel,Chapel,22,100%,3,No,1,85142,33.19999,-111.63629399999999,46
326,2016000013,A,Kinesiology,99.41,3.77,KIN 150,Intro to Athletic Training,22,90.70%,3,No,1,85142,33.19999,-111.63629399999999,51
337,2016000016,B-,Other,82.0,2.79,FRS 100,Freshman Seminar,21,100%,3,No,2,80018,39.688002000000004,-104.68974,12
338,2016000016,B+,Arts and Humanities,88.0,2.79,HIS 100,Introduction to Historical Study,21,96.88%,3,No,2,80018,39.688002000000004,-104.68974,20
339,2016000016,C,Integrated Core,74.0,2.79,INT 100,Interdisciplinary Studies,21,91.18%,3,No,2,80018,39.688002000000004,-104.68974,28
340,2016000016,A-,General Education,91.0,2.79,THE 100,Orthodox Christianity,21,86.67%,3,No,2,80018,39.688002000000004,-104.68974,83
343,2016000016,C+,General Education,79.25,2.79,WRI 090,Intermediate Composition,21,92.59%,3,No,2,80018,39.688002000000004,-104.68974,54
344,2016000016,B-,Arts and Humanities,81.2,2.35,HIS 200,Special Topics: Civil War and Reconstruction Era,21,100%,3,No,2,80018,39.688002000000004,-104.68974,12
345,2016000016,C-,Integrated Core,70.69,2.35,INT 110,Critical Reasoning,21,86.21%,3,No,2,80018,39.688002000000004,-104.68974,29
346,2016000016,C+,General Education,78.0,2.35,MTH 100,College Algebra,21,100%,3,No,2,80018,39.688002000000004,-104.68974,67
347,2016000016,B-,General Education,82.25,2.35,WRI 100,College Composition I,21,90.48%,3,No,2,80018,39.688002000000004,-104.68974,71
349,2016000016,D+,Integrated Core,66.27,2.22,INT 200,Classical Rhetoric,21,88.89%,3,No,2,80018,39.688002000000004,-104.68974,25
350,2016000016,B+,Arts and Humanities,86.69,2.22,LIT 200,Intro to Literature &amp; Creative Writing,21,90%,3,No,2,80018,39.688002000000004,-104.68974,28
351,2016000016,C,General Education,74.04,2.22,WRI 105,College Composition II,21,96%,3,No,2,80018,39.688002000000004,-104.68974,10
352,2016000016,D+,General Education,66.04,2.22,ASL 100,American Sign Language I,21,95.83%,3,No,2,80018,39.688002000000004,-104.68974,82
353,2016000016,B,Business Management,83.0,2.22,BUS 305,Business Law,21,84.62%,3,No,2,80018,39.688002000000004,-104.68974,61
354,2016000016,B-,General Education,81.1,2.22,COM 105,Oral Communication,21,96.77%,3,No,2,80018,39.688002000000004,-104.68974,41
356,2016000016,B-,Arts and Humanities,80.0,2.28,ART 100,Intro to Studio Art &amp; Art History,21,80.95%,3,No,2,80018,39.688002000000004,-104.68974,39
357,2016000016,B-,Arts and Humanities,80.0,2.28,MUS 200,Intro to Music Listening and Performance,21,100%,3,No,2,80018,39.688002000000004,-104.68974,72
358,2016000016,F,General Education,26.75,2.28,THE 105,New Testament,21,46.67%,3,No,2,80018,39.688002000000004,-104.68974,52
359,2016000016,B-,Integrated Core,82.31,2.28,INT 210,Western Civilization &amp; the Formation of Christendom,21,97.83%,3,No,2,80018,39.688002000000004,-104.68974,20
362,2016000017,A-,Business Management,91.47,2.82,ECO 115,Principles of Macroeconomics,23,96.67%,3,No,1,94534,38.244839,-122.135861,81
363,2016000017,B-,Business Management,82.0,2.82,MGT 100,Foundations of Business,23,100%,3,No,1,94534,38.244839,-122.135861,76
364,2016000017,B-,Business Management,80.0,2.82,BUS 310,Leadership and Business Ethics,23,94.12%,3,No,1,94534,38.244839,-122.135861,44
365,2016000017,B-,General Education,81.14,2.82,BIO 100,Natural World: Biology,23,95.83%,3,No,1,94534,38.244839,-122.135861,6
366,2016000017,C+,Kinesiology,78.0,2.82,KIN 200,Introduction to Kinesiology,23,96.55%,3,No,1,94534,38.244839,-122.135861,40
368,2016000017,B-,Business Management,80.05,2.38,ECO 110,Principles of Microeconomics,23,100%,3,No,1,94534,38.244839,-122.135861,17
369,2016000017,C,Integrated Core,75.5,2.38,INT 310,Modern European Thought &amp; Culture,23,100%,3,No,1,94534,38.244839,-122.135861,28
370,2016000017,B-,Kinesiology,82.71,2.38,KIN 300,Applied Kinesiology,23,100%,3,No,1,94534,38.244839,-122.135861,40
371,2016000017,D+,General Education,68.8,2.38,MTH 105,Introduction to Statistics,23,100%,3,No,1,94534,38.244839,-122.135861,15
372,2016000017,C+,Business Management,76.32,2.38,ACC 230,Managerial Accounting,23,93.33%,3,No,1,94534,38.244839,-122.135861,17
373,2016000017,B+,Kinesiology,88.43,2.38,KIN 150,Intro to Athletic Training,23,100%,3,No,1,94534,38.244839,-122.135861,51
375,2016000017,A-,Business Management,91.29,3.08,BUS 498,Advanced Reading in Business,23,100%,3,No,1,94534,38.244839,-122.135861,89
